	3638: <"loc_des_60_05">Pegue a caixa e saia dai.</string>
	3664: <"loc_des_85_03">O shutdown foi cancelado. Vocês precisam ir lá e reiniciar o shutdown, amigos!</string>
	3673: <"loc_des_13_06">Tem milhões de caixas ai dentro. Sim, milhões. Você só precisar achar a certa. Use o terminal no laboratório de TI.</string>
	3675: <"loc_des_102_05">Continue preparando os produtos químicos certos.</string>
	3682: <"loc_des_106_03">Bom, isso ainda não explodiu, então você pode preparar o último ingrediente.</string>
	3728: <"loc_des_89_02">Quando você quiser que o Bile venha prepare o sinalizador!</string>
	3803: <"loc_des_67_02">Essa arma precisa carregador antes de atirar. Procure por um painel de controle ai.</string>
	3808: <"loc_des_70_03">O canhão está pronto. Atire!</string>
	3814: <"loc_des_44_04">Não tenha medo de pega-la...</string>
	3822: <"loc_des_62_02">Se apresse e chegue ao laboratório de armas.</string>
	3893: <"loc_des_35_03">Então, eles estão estudando uma das caixas no laboratório de arqueologia. Vá até lá e de uma olhada. E cuidado com as múmias soltas.</string>
	3904: <"loc_des_96_04">Você precisa trocar essas baterias.</string>
	3969: <"loc_des_79_02">Vão em frente e peguem a caixa, amigos. Mantenha a polícia longe dela, certo?</string>
	3994: <"loc_des_53_01">Ok, isso parece... certo? Pelo menos não explodiu tudo. Hora de misturar o próximo ingrediente.</string>
	4003: <"loc_des_63_01">Ok, nós precisamos passar por aquela porta. Talvez possamos usar essa grande caralha no meio da sala pra explodir. Veja se pode apontar, certo?</string>
	4015: <"loc_des_15_01">Algo está errado com o computador. Não está conectando. Essa merda de MurkyDOS. Tente outro.</string>
	4061: <"loc_des_19_02">O terminal, pessoal. Ligue a energia de volta e reinicie o override.</string>
	4065: <"loc_des_102_02">Você precisa completar a formula, prepare o próximo ingrediente.</string>
	4113: <"loc_des_68_07">Ative o ciclo de carregamento, tá bom?</string>
	4118: <"loc_des_22_02">Os policiais desligaram o guindaste, você precisa ligar ele novamente!</string>
	4149: <"loc_des_26_04">Tem que ter algo por ai que você possar usar para abrir a caixa.</string>
	4190: <"loc_des_22_01">Eles pararam o guindaste, faça ele funcionar denovo.</string>
	4237: <"loc_des_87_01">Quem é esse kakspul feio?... Mas que merda... é essa...!? Ach! Sem tempo para lidar com isso agora! Vaza dai! Rápido!</string>
	4265: <"loc_des_41_05">Você já conseguiu abrir a arca?</string>
	4269: <"loc_des_31_01">Parece que essa caixa é pesada né? Tem uma esteira na sala principal para a doca de carregamento, por dentro da montanha. Jogue a caixa lá e deixe a esteira carregar para você.</string>
	4283: <"loc_des_98_01">Carreguem a arma, amigos.</string>
	4306: <"loc_des_72_05">O canhão ainda não está carregando. Inicie isso!</string>
	4382: <"loc_des_13_05">Chegue ao laboratório de computadores, ache a estante certa, dai use o guindaste.</string>
	4415: <"loc_des_69_01">O canhão está pronto, aperte aquele botão brilhante e vamos ver o que isso pode fazer!</string>
	4445: <"loc_des_64_06">Vamo galera, vire aquela porra.</string>
	4510: <"loc_des_102_01">Você precisa preparar o próximo ingrediente.</string>
	4514: <"loc_des_60_01">Rápido, peguem a caixa, amigos!</string>
	4539: <"loc_des_62_03">Já acharam o laboratório de armas?</string>
	4540: <"loc_des_91_02">Carreguem os artefatos, amigos.</string>
	4541: <"loc_des_30_05">Peguem a caixa e vão, amigos.</string>
	4576: <"loc_des_38_02">Prepare uma drill, certo?</string>
	4658: <"loc_des_72_01">Reinicie o ciclo de carregamento.</string>
	4680: <"loc_des_33_01">Você precisa voltar e chegar no painel onde está o segundo artefato. Faça isso rápido, tá bom?</string>
	4703: <"loc_des_62_05">Vá para o laboratório de armas.</string>
	4713: <"loc_des_08_02">Todos os projetos que rolam aqui são temporários, então um monte de coisa mudou.</string>
	4816: <"loc_des_58_03">Não esperem muito amigos, apenas bote a mistura na porta, certo?</string>
	4887: <"loc_des_18_01">A droga dos policiais cortaram a energia dos terminais. Ache a caixa de energia e ligue-a de volta.</string>
	4910: <"loc_des_54_03">Ainda parece estável, amigos. Hora de adicionar o último ingrediente.</string>
	4938: <"loc_des_15_02">O terminal não está conectando. A Murky sempre teve pessoas de TI lixo, uma exceção para mim, claro. Ache outro terminal.</string>
	4949: <"loc_des_79_03">Peguem a caixa amigos, e não deixe ninguém com patas gordurosas tocar nela, ok?</string>
	4950: <"loc_des_39_04">Reinicie a drill, ok?</string>
	5002: <"loc_des_93_02">Não deixem o helicóptero esperando, certo?</string>
	5089: <"loc_des_66_01">Achem essas baterias, amigos.</string>
	5114: <"loc_des_84_02">Merda! Essa armas irão foder o Bile se ele tentar pousar agora. Você precisa hackea-las pelas caixas de controle.</string>
	5135: <"loc_des_39_01">Os policiais pararam a drill. Você precisa reiniciá-la.</string>
	5244: <"loc_des_94_02">Tem mais uma fechadura na porta, você precisar mirar e atirar denovo.</string>
	5288: <"loc_des_96_02">Achou alguma fonte de energia?</string>
	5313: <"loc_des_71_01">A merda do policiais pararam o carregamento. Consiga religá-lo.</string>
	5355: <"loc_des_60_02">O artefato, amigos. Peguem ele e vaze!</string>
	5393: <"loc_des_04_01">...Você precisa achar as caixas de segurança que controlam as portas e hackea-las.</string>
	5442: <"loc_des_92_01">Ok, amigos. Entrem no heli!</string>
	5448: <"loc_des_96_03">Você precisa de novas células de energia.</string>
	5460: <"loc_des_01_01">Silêncio agora, amigos.</string>
	5469: <"loc_des_41_02">Já consegueriam algo nos símbolos?</string>
	5480: <"loc_des_02_03">Ach! Se a polícia está aqui também, Garret deve estar ajudando cada vez mais a Murky, para virem até aqui. Ou ele está muito puto com nós.</string>
	5544: <"loc_des_74_07">A alavanca. Ache ela e puxe.</string>
	5564: <"loc_des_07_04">Rápido amigos, entrem lá e procurem.</string>
	5566: <"loc_des_98_07">Ativem o ciclo de carregamento da arma.</string>
	5622: <"loc_des_103_03">Vocês precisam abrir essa porra de arca.</string>
	5630: <"loc_des_99_01">A arma está pronta, atire e derreta aquela porta.</string>
	5656: <"loc_des_05_02">Você precisa reniciar o override daquele caixa.</string>
	5658: <"loc_des_97_03">Você precisa recarregar a arma para atirar denovo.</string>
	5663: <"loc_des_57_02">Agora, vá e ponha esse treco para fazer o seu trabalho na porta.</string>
	5699: <"loc_des_106_01">Hora de preparar o próximo componente.</string>
	5700: <"loc_des_11_02">Hmm. Parece que uma das caixas que viemos buscar esta nos arquivos. Sem chance de chegarmos lá andando, mas você pode usar um guindaste na sala central, mas você precisa achar a estante certa.</string>
	5766: <"loc_des_13_07">É como uma agulha no palheiro, mas você precisa achar essa caixa! Vá para o laboratório de TI.</string>
	5847: <"loc_des_24_04">Você precisa reconectar a energia para o guindaste!</string>
	5881: <"loc_des_88_01">Bile saberá quando você estiver pronto quando ver o sinalizador, yeah!</string>
	5935: <"loc_des_28_04">Talvez se eu mandar um chave de fenda pelo correio?</string>
	5976: <"loc_des_14_03">Hackeie um desses terminais, sim?</string>
	5994: <"loc_des_29_01">Ah, aqui vamos nós. Uma caixa da estranheza. Pegue e vá para o próximo.</string>
	6001: <"loc_des_91_06">Jogue essas caralhas misteriosas dentro do helicóptero!</string>
	6040: <"loc_des_86_03">Renicie a sequência de shutdowns.</string>
	6042: <"loc_des_82_03">...E pegue as caixas no final da esteira, na entrada. Elas devem estar esperando por você, certo?</string>
	6082: <"loc_des_107_02">Agora misture tudo junto. Estável... cuidado...</string>
	6160: <"loc_des_70_04">Aperte o botão. Você não pode perder isso.</string>
	6355: <"loc_des_34_03">Você está procurando pela segunda caixa?</string>
	6358: <"loc_des_80_02">Volte ao computador principal e ache a segunda caixa, ok? </string>
	6366: <"loc_des_70_01">Aperte o botão, ok?</string>
	6375: <"loc_des_33_03">Você precisa procurar no computador principal para achar a segunda caixa. Rápido.</string>
	6393: <"loc_des_100_02">Pronto para vazar dai? Volte para a entrada e eu irei arranjar a extração.</string>
	6441: <"loc_des_66_03">Ainda precisa de mais células de energia.</string>
	6472: <"loc_des_36_04">Vamo pessoal, vão para a ala de arqueologia.</string>
	6492: <"loc_des_93_01">Vamo amigos. Bile não tem muito combustível restante.</string>
	6586: <"loc_des_56_03">Amigos, eles pararam seu churrasco, sim? Você precisa refaze-lo!</string>
	6588: <"loc_des_22_03">O guindaste foi parado. Você precisa reniciá-lo!</string>
	6614: <"loc_des_103_02">Os símbolos. Tem uma ordem correta pra eles.</string>
